second,Volt
-287.0000E-06,+963.3874353E-03
-286.3000E-06,+963.9465794E-03
-285.6000E-06,+964.3922635E-03
-284.9000E-06,+964.7444181E-03
-284.2000E-06,+965.3344746E-03
-283.5000E-06,+966.0884420E-03
-282.8000E-06,+967.0558785E-03
-282.1000E-06,+967.9604016E-03
-281.4000E-06,+968.9743503E-03
-280.7000E-06,+970.5824901E-03
-280.0000E-06,+972.1654045E-03
-279.3000E-06,+973.1401259E-03
-278.6000E-06,+974.0568111E-03
-277.9000E-06,+975.7497520E-03
-277.2000E-06,+976.9768607E-03
-276.5000E-06,+977.6785503E-03
-275.8000E-06,+979.1632956E-03
-275.1000E-06,+979.7218345E-03
-274.4000E-06,+980.9375910E-03
-273.7000E-06,+981.7005787E-03
-273.0000E-06,+982.3882908E-03
-272.3000E-06,+982.8276828E-03
-271.6000E-06,+983.1707341E-03
-270.9000E-06,+983.4473211E-03
-270.2000E-06,+983.7673659E-03
-269.5000E-06,+983.9431427E-03
-268.8000E-06,+984.3357307E-03
-268.1000E-06,+984.6498010E-03
-267.4000E-06,+984.7973108E-03
-266.7000E-06,+985.0423889E-03
-266.0000E-06,+985.0262711E-03
-265.3000E-06,+985.5476272E-03
-264.6000E-06,+985.8334305E-03
-263.9000E-06,+986.0098297E-03
-263.2000E-06,+986.5848915E-03
-262.5000E-06,+987.0049108E-03
-261.8000E-06,+987.1249892E-03
-261.1000E-06,+987.6084485E-03
-260.4000E-06,+988.1012242E-03
-259.7000E-06,+988.6126328E-03
-259.0000E-06,+988.9524595E-03
-258.3000E-06,+989.2855848E-03
-257.6000E-06,+989.6283443E-03
-256.9000E-06,+990.2593091E-03
-256.2000E-06,+989.9545552E-03
-255.5000E-06,+990.3500717E-03
-254.8000E-06,+991.5539180E-03
-254.1000E-06,+991.1457345E-03
-253.4000E-06,+991.8901894E-03
-252.7000E-06,+991.8698509E-03
-252.0000E-06,+992.4384245E-03
-251.3000E-06,+992.1966971E-03
-250.6000E-06,+992.0525465E-03
-249.9000E-06,+992.6490652E-03
-249.2000E-06,+991.9762004E-03
-248.5000E-06,+992.4698290E-03
-247.8000E-06,+992.3889267E-03
-247.1000E-06,+992.4318148E-03
-246.4000E-06,+992.6081268E-03
-245.7000E-06,+992.7522731E-03
-245.0000E-06,+992.5795335E-03
-244.3000E-06,+991.9605962E-03
-243.6000E-06,+991.9908252E-03
-242.9000E-06,+992.1499102E-03
-242.2000E-06,+990.8659099E-03
-241.5000E-06,+991.4339398E-03
-240.8000E-06,+991.1044956E-03
-240.1000E-06,+990.3908970E-03
-239.4000E-06,+989.9014978E-03
-238.7000E-06,+990.2631206E-03
-238.0000E-06,+989.7689267E-03
-237.3000E-06,+989.3012935E-03
-236.6000E-06,+988.8176254E-03
-235.9000E-06,+988.7327155E-03
-235.2000E-06,+988.0224719E-03
-234.5000E-06,+987.7745783E-03
-233.8000E-06,+987.0930453E-03
-233.1000E-06,+986.8384246E-03
-232.4000E-06,+986.4960872E-03
-231.7000E-06,+986.1416352E-03
-231.0000E-06,+986.0313739E-03
-230.3000E-06,+985.4127672E-03
-229.6000E-06,+985.4059227E-03
-228.9000E-06,+985.0676273E-03
-228.2000E-06,+984.8853538E-03
-227.5000E-06,+984.5713965E-03
-226.8000E-06,+984.2447635E-03
-226.1000E-06,+984.0251412E-03
-225.4000E-06,+983.7075900E-03
-224.7000E-06,+983.5940696E-03
-224.0000E-06,+983.2206670E-03
-223.3000E-06,+982.3890650E-03
-222.6000E-06,+982.4513086E-03
-221.9000E-06,+981.5309680E-03
-221.2000E-06,+980.9842562E-03
-220.5000E-06,+980.2367683E-03
-219.8000E-06,+979.2726867E-03
-219.1000E-06,+978.1200482E-03
-218.4000E-06,+977.3661637E-03
-217.7000E-06,+976.0690527E-03
-217.0000E-06,+974.5830368E-03
